Value;Voltage
8419589;0.126381568775364
8419558;0.1262551137811081
8419553;0.12623471781429266
8419562;0.1262714305545605
8419537;0.12616945072048316
8419552;0.12623063862092956
8419525;0.12612050040012604
8419524;0.12611642120676295
8419520;0.12610010443331054
8419524;0.12611642120676295
8419522;0.12610826282003676
8419486;0.12596141185896537
8419514;0.12607562927313198
8419569;0.12629998490810215
8419603;0.12643867748244733
8419550;0.12622248023420338
8419520;0.12610010443331054
8419532;0.12614905475366767
8419556;0.12624695539438194
8419562;0.1262714305545605
8419518;0.12609194604658439
8419513;0.12607155007976892
8419477;0.12592469911869755
8419476;0.12592061992533443
8419520;0.12610010443331054
8419539;0.12617760910720932
8419568;0.12629590571473906
8419571;0.12630814329482834
8419530;0.12614089636694148
8419498;0.1260103621793225
8419531;0.1261449755603046
8419543;0.12619392588066172
8419517;0.12608786685322126
8419525;0.12612050040012604
8419574;0.12632038087491762
8419569;0.12629998490810215
8419557;0.126251034587745
8419544;0.12619800507402482
8419554;0.12623879700765572
8419573;0.1263163016815545
8419572;0.12631222248819143
8419568;0.12629590571473906
8419565;0.12628366813464978
8419557;0.126251034587745
8419515;0.1260797084664951
8419503;0.12603075814613798
8419576;0.12632853926164378
8419550;0.12622248023420338
8419547;0.1262102426541141
8419558;0.1262551137811081
8419559;0.12625919297447122
8419553;0.12623471781429266
8419593;0.1263978855488164
8419563;0.1262755097479236
8419557;0.126251034587745
8419555;0.12624287620101882
8419548;0.12621432184747716
8419545;0.12620208426738788
8419529;0.12613681717357839
8419581;0.12634893522845927
8419601;0.12643051909572112
8419600;0.12642643990235805
8419572;0.12631222248819143
8419553;0.12623471781429266
8419566;0.12628774732801287
8419547;0.1262102426541141
8419578;0.12633669764837
8419609;0.1264631526426259
8419606;0.1264509150625366
8419603;0.12643867748244733
8419597;0.12641420232226877
8419564;0.12627958894128666
8419578;0.12633669764837
8419585;0.12636525200191162
8419595;0.12640604393554256
8419569;0.12629998490810215
8419552;0.12623063862092956
8419569;0.12629998490810215
8419586;0.12636933119527471
8419584;0.12636117280854856
8419633;0.1265610532833401
8419638;0.1265814492501556
8419600;0.12642643990235805
8420032;0.12818865143521443
8426607;0.15500934779755446
8448564;0.2445761964709993
8479509;0.37080683509192885
8512427;0.505085722218242
8545978;0.6419467387433933
8581104;0.785232484815417
8619152;0.9404376338943999
8659640;1.105596014779331
8702636;1.2809850126189009
8747600;1.4644018629970388
8794264;1.6547533420924354
8842260;1.850538306747473
8890980;2.04927660739739
8940116;2.2497118524863544
8989908;2.4528230484215077
9040201;2.657977920231571
9090784;2.864315758116932
9141402;3.0707963677700003
9192686;3.279993720202889
9244639;3.4919200529956878
9296718;3.7043603641522362
9348804;3.916829229662327
9400912;4.129387837426405
9452750;4.3408450629824475
9504866;4.55343630429343
9556798;4.765276974025604
9609028;4.978333243379979
9662199;5.195228033689026
9715269;5.4117108254684005
9767794;5.625970456864888
9820313;5.8402056131011975
9872917;6.0547875007733705
9925612;6.2697405950415845
9978665;6.486154040533785
10031504;6.701694538646285
10084235;6.91679448387557
10137226;7.13295501937926
10190380;7.349780463401134
10243241;7.565410703767621
10296443;7.782431949070924
10349626;7.999375689700328
10402452;8.214863158299108
10455086;8.429567421772171
10508555;8.64767781170342
10562351;8.867122097864401
10616377;9.087504598498892
10669995;9.306222788241243
10722878;9.521942770861717
10775978;9.738547938441984
10829234;9.955789460186894
10881053;10.167169181069038
10933734;10.382065166630168
10987985;10.603365485771356
11041708;10.82251199081683
11095082;11.040234857378586
11148877;11.259675064346201
11202583;11.478752223104504
11256271;11.69775595638227
11310018;11.917000362068457
11363510;12.135204573447057
11416935;12.353135478870328
11471213;12.57454593623232
11525544;12.796172590842557
11578653;13.012814471163091
11632735;13.233425406625916
11686610;13.45319194906258
11739422;13.668622308954275
11793031;13.887303785956357
11846564;14.105675244262844
11900497;14.325678379914567
11954701;14.54678697696769
12008418;14.765909006852985
12061461;14.982281660411555
12115135;15.201228284982237
12168646;15.419510001034736
12221945;15.63692692809426
12275573;15.855685909770239
12329303;16.074860969169254
12382589;16.29222486671506
12436205;16.510934898070683
12490053;16.73059130228654
12543739;16.94958687717758
12597456;17.16870890706288
12651040;17.387288404230883
12704161;17.603979234871773
12757821;17.82286875073537
12812417;18.04557639158683
12866264;18.26522871660932
12919780;18.483530828628638
12973495;18.702644700127205
13026831;18.920212557341166
13080390;19.138690074675093
13134002;19.357383789257263
13187471;19.57549417918851
13242178;19.798654610503267
13296306;20.019453188860798
13349648;20.237045521234933
13403187;20.455441454701596
13457107;20.6753915608396
13510952;20.89503572747537
13564925;21.115202030861617
13618256;21.33274949210876
13672173;21.552687360666678
13726044;21.772437586329886
13779725;21.99141276525411
13833478;22.21068164610048
13887179;22.429738408891968
13940503;22.647257315785566
13994230;22.866420137604493
14047501;23.083722847249845
14101283;23.303110024703745
14155674;23.524981430915766
14209255;23.74354869050368
14262773;23.96185896090972
14315944;24.178753751218764
14368917;24.39484086124192
14422535;24.613559050984268
14476318;24.83295030763153
14529475;25.049787989233494
14583765;25.27124739691584
14637376;25.489937032304645
14690707;25.70748449355179
14744017;25.924946291738305
14797684;26.143864361955448
14850371;26.358784822676757
14903211;26.574329399982616
14956036;26.789812789388034
15009616;27.008375969782584
15063222;27.22704520920458
15116547;27.44456819529154
15169191;27.659313250698236
15222171;27.875428915074934
15275088;28.091287590269754
15327080;28.303373011603714
15379290;28.516347697090826
15432616;28.73387476237115
15476444;28.912657649088814
15490174;28.968664973964092
15487208;28.956566086449154
15482591;28.93773245069175
15478911;28.922721019115567
15476274;28.91196418621709
15474045;28.902871664210757
15472139;28.8950967216607
15471090;28.890817647822814
15470590;28.88877805114127
15470126;28.88688530542079
15469560;28.88457648197728
15469074;28.882593994002818
15468695;28.881047979718208
15468287;28.879383668826062
15467936;28.877951871955617
15467522;28.876263085903297
15467173;28.874839447419575
15466851;28.873525947156658
15466529;28.872212446893744
15466205;28.8708907882441
15465924;28.869744534909074
15465597;28.868410638679343
15465294;28.867174643090323
15465050;28.86617931990973
15464805;28.86517991753577
15464522;28.864025505814016
15464288;28.86307097456705
15464045;28.862079730579822
15463814;28.861137436912944
15463602;28.86027264791997
15463393;28.859420096507083
15463151;28.858432931713214
15462930;28.85753142997997
15462718;28.856666640986997
15462529;28.85589567344137
15462371;28.855251160890003
15462198;28.854545460438185
15462000;28.853737780152294
15461825;28.853023921313753
15461632;28.852236636994675
15461450;28.851494223802593
15461225;28.850576405295897
15461074;28.84996044709807
15460907;28.849279221806434
15460733;28.848569442161253
15460620;28.848108493311226
15460447;28.847402792859413
15460269;28.846676696440777
15460078;28.845897570508427
15460016;28.845644660519916
15459890;28.845130682156167
15459746;28.844543278311882
15459618;28.844021141561406
15459436;28.843278728369324
15459266;28.842585265497597
15459152;28.842120237454203
15459027;28.841610338283818
15458884;28.841027013632896
15458686;28.840219333347004
15458542;28.839631929502715
15458405;28.83907308001197
15458323;28.8387385861562
15458215;28.838298033272988
15458094;28.83780445087605
15457984;28.83735573960611
15457853;28.836821365275544
15457705;28.836217644657808
15457618;28.83586275483522
15457507;28.835409964371916
15457377;28.834879669234713
15457246;28.834345294904146
15457167;28.834023038628462
15457100;28.833749732673137
15457014;28.83339892204391
15456958;28.833170487215575
15456819;28.832603479338104
15456637;28.831861066146022
15456579;28.831624472930965
15456492;28.831269583108373
15456378;28.830804555064983
15456285;28.830425190082213
15456230;28.830200834447243
15456160;28.829915290911828
15456063;28.82951960915561
15455941;28.829021947565312
15455879;28.8287690375768
15455801;28.828450860494478
15455691;28.828002149224538
15455604;28.82764725940195
15455502;28.827231181678915
15455448;28.827010905237305
15455382;28.82674167847534
15455303;28.826419422199656
15455252;28.82621138333814
15455151;28.825799384808466
15455033;28.825318039991622
15454978;28.825093684356652
15454935;28.824918279042038
15454841;28.824534834865908
15454781;28.824290083264124
15454713;28.824012698115432
15454593;28.82352319491186
15454497;28.823131592349004
15454495;28.82312343396228
15454460;28.822980662194567
15454388;28.822686960272428
15454274;28.822221932229034
15454191;28.821883359179896
15454128;28.82162636999802
15454066;28.82137346000951
15454002;28.821112391634273
15453875;28.82059433407716
15453813;28.82034142408865
15453776;28.820190493934213
15453705;28.819900871205434
15453621;28.819558218962932
15453558;28.819301229781058
15453517;28.81913398285317
15453453;28.818872914477932
15453393;28.81862816287615
15453325;28.81835077772746
15453270;28.81812642209249
15453204;28.817857195330525
15453152;28.817645077275643
15453106;28.81745743438094
15453086;28.81737585051368
15452995;28.817004643917638
15452926;28.816723179575582
15452868;28.816486586360526
15452840;28.81637236894636
15452779;28.81612353815121
15452704;28.815817598648977
15452649;28.815593243014007
15452608;28.81542599608612
15452576;28.8152954618985
15452547;28.815177165290972
15452465;28.814842671435198
15452372;28.81446330645243
15452352;28.814381722585168
15452297;28.814157366950198
15452231;28.813888140188237
15452171;28.81364338858645
15452138;28.813508775205467
15452120;28.81343534972493
15452016;28.81301111361517
15451992;28.812913212974454
15451984;28.81288057942755
15451884;28.81247266009124
15451805;28.812150403815554
15451785;28.812068819948294
15451791;28.812093295108472
15451796;28.812113691075286
15451733;28.81185670189341
15451660;28.811558920777905
15451602;28.81132232756285
15451542;28.81107757596106
15451523;28.811000071287165
15451509;28.810942962580082
15451414;28.810555439210585
15451401;28.810502409696866
15451400;28.810498330503503
15451360;28.81033516276898
15451282;28.81001698568666
15451194;28.809658016670706
15451151;28.809482611356092
