Time,Normal Force,Tangential Force 1,Tangential Force 2,Friction Coefficient,Penetration Depth
0.0,3.2191817153275624,3.6750786696113034,3.8364806628295094,0.12410598679862817,0.26780531440488153
0.1,7.826325768096957,4.128866966113674,2.514726556631066,0.6715466806622354,0.2129214198178605
0.2,8.448177889963222,4.799099781335197,4.412602643690607,0.6053169186639451,0.41117306098830597
0.30000000000000004,9.473296406257417,1.4643440079940018,4.234203304377708,0.03873551218626958,0.5752813787150146
0.4,9.735993715830137,0.09689933291159303,0.4698611911318107,0.9386218331644087,0.9065816562262664
0.5,5.981236763227122,1.1446819706782085,0.6038780880382616,0.8616956270466333,0.4175283210738493
0.6000000000000001,6.369715499127551,1.4043941487673595,2.0654503293094844,0.6714337521985176,0.4829371050374648
0.7000000000000001,9.281523657712086,2.9011856893656423,4.592902507851039,0.6137586711382229,0.6597242794393463
0.8,6.830716900491675,4.637546799701628,0.8468953937526269,0.9124413599185043,0.5532609764035457
0.9,3.9997172301192405,4.5209274854805335,2.548257516628021,0.03572790177711549,0.967610159593316
1.0,4.869298631286227,1.5744029353514515,4.02682502299312,0.35829099164376954,0.45764248443723365
1.1,9.613114997781649,0.9996364721924111,3.35816162210057,0.1148375736261309,0.9055757283251239
1.2000000000000002,7.684678896663211,4.7719927643488855,3.928157869435977,0.5807643467896652,0.02376698980593972
1.3,6.4042361708030136,2.815690200088113,0.8284463511803342,0.9158076732647532,0.6542346648915135
1.4000000000000001,2.9424022190183496,1.5811516589415364,0.947874432978506,0.9928849778266032,0.5251797315832193
1.5,5.383299976739126,3.6501843188656884,1.2370117661427464,0.7991949201907173,0.9918190533465134
1.6,3.4649473835413556,3.516438527931923,3.460693086708588,0.3138135171198455,0.7005140340338497
1.7000000000000002,5.138306507984972,3.5809313974757084,3.9391086574447716,0.8903562500234834,0.646710705611083
1.8,2.5338376960562026,1.4576376806815965,4.727970118499053,0.5619882030350539,0.8640327412747706
1.9000000000000001,5.074496254652152,1.9669304900305784,1.3131447776913885,0.7905127465932311,0.17759378767706002
2.0,9.21483570194326,4.238750073676729,2.036960447536691,0.047147719637757324,0.8259712051160503
2.1,2.3290725326063075,3.5559210285089375,2.555991736862569,0.2400967591288714,0.6311790170677768
2.2,4.4278274399620186,1.0525201292431103,2.3376672496541016,0.8366407472841421,0.3624755642917622
